,zip_code,item_description,bottles_sold
71,52804.0,Martell VSSD,2
70,52803.0,Everclear Alcohol,3
69,52761.0,Dekuyper Peachtree,4
68,52732.0,Paramount Gold Rum,24
67,52627.0,Kapali Coffee Liqueur,36
65,52601.0,Five O'clock Vodka,48
66,52601.0,Hennessy VS,24
64,52556.0,Juarez Triple Sec,6
63,52411.0,Everclear Alcohol,36
61,52402.0,Montezuma Triple Sec,216
62,52402.0,Paramount Gold Rum,7
60,52338.0,Cedar Ridge Single Malt Single Barrel Select,90
59,52314.0,Juarez Gold Dss,1560
58,52241.0,Maestro Agavero Gold,48
57,52241.0,Bacardi Gold,1
55,52240.0,Juarez Triple Sec,60
56,52240.0,Templeton Rye,18
54,52172.0,Kahlua Coffee,1
53,52136.0,Five O'clock Vodka,2
52,52003.0,Bacardi Gold Rum Mini,5
51,52001.0,Kamora Coffee Liqueur,4
50,51555.0,Paramount Gold Rum,2
48,51501.0,Juarez Triple Sec,48
49,51501.0,Kahlua Coffee,7
47,51501.0,Bacardi Gold Mini,4
46,51501.0,99 Peppermint Mini,2
44,51401.0,Basil Hayden Dark Rye,18
43,51401.0,Bacardi Gold Mini,12
45,51401.0,Paramount Sloe Gin,4
42,51360.0,Tortilla Gold Dss,48
41,51247.0,Dekuyper Triple Sec,6
40,51246.0,Arrow Spearmint Schnapps,5
38,51106.0,Kahlua Coffee Liqueur,240
37,51106.0,Juarez Triple Sec,144
39,51106.0,Kapali Coffee Liqueur,84
36,50801.0,Bacardi Gold Rum,5
35,50707.0,Jameson,60
33,50703.0,Pinnacle Peach w/ Punch Dispenser,180
32,50703.0,Hennessy VS,24
34,50703.0,Seagrams Extra Smooth,24
31,50703.0,Bacardi Gold,1
30,50702.0,Tortilla Gold Dss,768
29,50702.0,HA Elijah Craig Cask Barrel Proof,18
26,50701.0,Bacardi Gold,7
27,50701.0,Bacardi Gold Mini,4
28,50701.0,Dekuyper Triple Sec,2
25,50662.0,Ole Smoky Apple Pie Moonshine 70prf Mini,8
24,50588.0,Phillips Root Beer Schnapps,4
23,50501.0,Titos Vodka,108
22,50461.0,Five O'clock Vodka,30
20,50401.0,Ole Smoky Blackberry Moonshine Mini,48
21,50401.0,Ole Smoky Salty Caramel Whiskey,18
19,50327.0,Bacardi Gold Rum PET,102
16,50320.0,Di Amore Quattro Orange,120
18,50320.0,Tortilla Gold Dss,72
17,50320.0,Glen Oaks Whiskey Buy the Barrel,66
15,50317.0,Paul Masson Peach Grande Amber Brandy,24
14,50316.0,Hennessy VS,48
11,50314.0,Juarez Triple Sec,240
10,50314.0,Hennessy Vs Cognac,60
12,50314.0,Paul Masson Peach Grande Amber Brandy,24
13,50314.0,Remy Martin VSOP,24
9,50266.0,Avion Silver w/Powell & Mahoney Margarita Mix,90
8,50265.0,Kahlua Coffee,72
7,50263.0,Jagermeister w/2 Shot Glasses,84
4,50158.0,Hennessy VS,24
6,50158.0,Kamora Coffee Liqueur,6
5,50158.0,Kahlua Coffee,3
3,50131.0,Platinum 7x Vodka,48
2,50111.0,Saints N Sinners Apple Pie,108
1,50022.0,Paramount Triple Sec,4
0,50010.0,Member's Mark Spiced Rum,288
