,store_number,bottles_sold,percentage
0,2178,1,0.02
1,2465,5,0.09
2,2512,78,1.38
3,2515,66,1.17
4,2522,48,0.85
5,2538,18,0.32
6,2544,6,0.11
7,2562,108,1.92
8,2571,181,3.21
9,2576,4,0.07
10,2587,48,0.85
11,2591,4,0.07
12,2593,30,0.53
13,2601,6,0.11
14,2616,24,0.43
15,2619,90,1.6
16,2633,258,4.58
17,2636,24,0.43
18,2641,2,0.04
19,2643,2,0.04
20,2647,36,0.64
21,2665,84,1.49
22,2670,48,0.85
23,2843,7,0.12
24,3162,4,0.07
25,3385,216,3.83
26,3447,468,8.31
27,3494,768,13.63
28,3524,288,5.11
29,3549,36,0.64
30,3705,5,0.09
31,3772,48,0.85
32,3869,1,0.02
33,3963,4,0.07
34,3993,11,0.2
35,4057,48,0.85
36,4136,108,1.92
37,4152,2,0.04
38,4153,60,1.06
39,4156,8,0.14
40,4158,4,0.07
41,4167,4,0.07
42,4291,5,0.09
43,4312,48,0.85
44,4559,30,0.53
45,4829,300,5.32
46,4867,7,0.12
47,4898,24,0.43
48,4962,3,0.05
49,4971,102,1.81
50,5003,2,0.04
51,5063,24,0.43
52,5102,1560,27.68
53,5113,24,0.43
54,5146,72,1.28
55,5166,24,0.43
56,5204,48,0.85
57,5244,2,0.04
58,5416,3,0.05
59,5446,6,0.11
60,9001,90,1.6
